"DONNEES - Effectifs des médecins"
"ANNEE - 2015"
"SEXE - Ensemble tous sexes confondus"

,AGE,"Ensemble tous âges confondus","Moins de 30 ans","Entre 30 et 34 ans","Entre 35 et 39 ans","Entre 40 et 44 ans","Entre 45 et 49 ans","Entre 50 et 54 ans","Entre 55 et 59 ans","Entre 60 et 64 ans","Entre 65 et 69 ans","70 ans et plus"
"46 - Lot","Oncologie option médicale",0,0,0,0,0,0,0,0,0,0,0
"46 - Lot","Ophtalmologie",8,0,0,0,0,0,1,3,2,2,0
"46 - Lot","Pédiatrie",7,0,0,0,0,3,1,2,0,1,0
"46 - Lot","Pneumologie",7,0,0,0,0,1,1,2,1,2,0
"46 - Lot","Psychiatrie",32,0,3,3,4,2,6,4,8,2,0
"46 - Lot","Radio-diagnostic et imagerie médicale",16,0,0,0,1,5,2,4,1,3,0
"46 - Lot","Radio-thérapie",1,0,0,0,0,0,1,0,0,0,0
"46 - Lot","Réanimation médicale",1,0,0,0,1,0,0,0,0,0,0
"46 - Lot","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"46 - Lot","Rhumatologie",7,0,0,1,0,0,2,1,2,1,0
"46 - Lot","Santé publique et médecine sociale",5,0,1,0,0,0,1,3,0,0,0
"46 - Lot","Généralistes",290,4,7,17,17,25,65,59,58,30,8
"46 - Lot","Médecine générale",290,4,7,17,17,25,65,59,58,30,8
"47 - Lot-et-Garonne","Ensemble des spécialités d'exercice",872,6,33,53,67,93,157,154,184,94,31
"47 - Lot-et-Garonne","Spécialistes",422,3,13,23,28,53,76,75,92,43,16
"47 - Lot-et-Garonne","Anatomie et cytologie pathologiques",5,0,0,0,0,0,2,0,3,0,0
"47 - Lot-et-Garonne","Anesthésie-réanimation",44,0,1,3,3,5,6,6,12,6,2
"47 - Lot-et-Garonne","Biologie médicale",11,1,1,0,1,1,3,2,1,1,0
"47 - Lot-et-Garonne","Cardiologie et maladies vasculaires",26,0,0,3,2,5,4,4,4,1,3
"47 - Lot-et-Garonne","Chirurgie générale",9,0,1,0,2,0,0,0,4,1,1
"47 - Lot-et-Garonne","Chirurgie maxillo-faciale et stomatologie",5,0,0,0,1,0,1,2,1,0,0
"47 - Lot-et-Garonne","Chirurgie orthopédique et traumatologie",16,0,2,0,0,6,4,1,1,1,1
"47 - Lot-et-Garonne","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"47 - Lot-et-Garonne","Chirurgie plastique reconstructrice et esthétique",2,0,0,0,0,0,0,1,1,0,0
"47 - Lot-et-Garonne","Chirurgie thoracique et cardio-vasculaire",1,0,0,0,1,0,0,0,0,0,0
"47 - Lot-et-Garonne","Chirurgie urologique",5,0,1,0,0,0,3,1,0,0,0
"47 - Lot-et-Garonne","Chirurgie vasculaire",3,0,0,0,0,0,0,0,3,0,0
"47 - Lot-et-Garonne","Chirurgie viscérale et digestive",11,0,0,1,0,0,9,1,0,0,0
"47 - Lot-et-Garonne","Dermatologie et vénéréologie",12,0,0,0,0,1,1,3,4,2,1
"47 - Lot-et-Garonne","Endocrinologie et métabolisme",9,0,3,0,1,1,3,0,0,1,0
"47 - Lot-et-Garonne","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"47 - Lot-et-Garonne","Gériatrie",9,0,0,1,3,0,2,0,3,0,0
"47 - Lot-et-Garonne","Gynécologie médicale",17,0,0,0,0,1,1,3,8,4,0
"47 - Lot-et-Garonne","Gynécologie-obstétrique",10,0,0,0,2,2,1,2,2,0,1
"47 - Lot-et-Garonne","Hématologie",1,0,0,0,0,0,1,0,0,0,0
"47 - Lot-et-Garonne","Gastro-entérologie et hépatologie",15,0,0,1,1,2,3,2,4,1,1
"47 - Lot-et-Garonne","Médecine du travail",18,0,1,2,0,3,2,6,3,1,0
"47 - Lot-et-Garonne","Médecine interne",11,0,0,2,0,3,0,3,1,2,0
"47 - Lot-et-Garonne","Médecine nucléaire",2,1,1,0,0,0,0,0,0,0,0
"47 - Lot-et-Garonne","Médecine physique et réadaptation",4,0,0,0,0,1,0,2,0,1,0
"47 - Lot-et-Garonne","Néphrologie",4,0,0,1,0,1,0,0,0,2,0
"47 - Lot-et-Garonne","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"47 - Lot-et-Garonne","Neurologie",7,0,1,0,1,1,2,1,1,0,0
"47 - Lot-et-Garonne","O.R.L et chirurgie cervico faciale",7,0,0,0,1,0,1,4,1,0,0
"47 - Lot-et-Garonne","Oncologie option médicale",0,0,0,0,0,0,0,0,0,0,0
"47 - Lot-et-Garonne","Ophtalmologie",28,0,0,1,3,6,5,2,4,6,1
"47 - Lot-et-Garonne","Pédiatrie",22,1,0,2,2,4,4,3,4,0,2
"47 - Lot-et-Garonne","Pneumologie",10,0,0,0,0,3,3,3,1,0,0
"47 - Lot-et-Garonne","Psychiatrie",51,0,1,4,2,3,4,14,17,5,1
"47 - Lot-et-Garonne","Radio-diagnostic et imagerie médicale",31,0,0,2,1,3,7,6,5,5,2
"47 - Lot-et-Garonne","Radio-thérapie",3,0,0,0,0,1,0,1,0,1,0
"47 - Lot-et-Garonne","Réanimation médicale",0,0,0,0,0,0,0,0,0,0,0
"47 - Lot-et-Garonne","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"47 - Lot-et-Garonne","Rhumatologie",6,0,0,0,0,0,3,0,3,0,0
"47 - Lot-et-Garonne","Santé publique et médecine sociale",7,0,0,0,1,0,1,2,1,2,0
"47 - Lot-et-Garonne","Généralistes",450,3,20,30,39,40,81,79,92,51,15
"47 - Lot-et-Garonne","Médecine générale",450,3,20,30,39,40,81,79,92,51,15
"48 - Lozère","Ensemble des spécialités d'exercice",179,1,12,12,12,10,28,40,38,21,5
"48 - Lozère","Spécialistes",71,0,3,4,3,6,10,20,15,8,2
"48 - Lozère","Anatomie et cytologie pathologiques",1,0,0,0,0,0,0,1,0,0,0
"48 - Lozère","Anesthésie-réanimation",10,0,0,0,0,2,2,2,2,1,1
"48 - Lozère","Biologie médicale",1,0,0,0,0,0,0,1,0,0,0
"48 - Lozère","Cardiologie et maladies vasculaires",5,0,0,0,0,0,0,3,1,1,0
"48 - Lozère","Chirurgie générale",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Chirurgie maxillo-faciale et stomatologie",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Chirurgie orthopédique et traumatologie",2,0,0,0,0,0,1,0,1,0,0
"48 - Lozère","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Chirurgie plastique reconstructrice et esthétique",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Chirurgie thoracique et cardio-vasculaire",1,0,0,1,0,0,0,0,0,0,0
"48 - Lozère","Chirurgie urologique",1,0,0,0,0,0,0,0,1,0,0
"48 - Lozère","Chirurgie vasculaire",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Chirurgie viscérale et digestive",2,0,0,0,0,0,0,0,2,0,0
"48 - Lozère","Dermatologie et vénéréologie",1,0,0,0,0,0,0,1,0,0,0
"48 - Lozère","Endocrinologie et métabolisme",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Gériatrie",1,0,0,0,0,0,1,0,0,0,0
"48 - Lozère","Gynécologie médicale",1,0,0,0,0,0,0,0,1,0,0
"48 - Lozère","Gynécologie-obstétrique",5,0,0,0,1,1,1,2,0,0,0
"48 - Lozère","Hématologie",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Gastro-entérologie et hépatologie",1,0,0,0,0,0,0,1,0,0,0
"48 - Lozère","Médecine du travail",4,0,0,1,0,0,1,0,1,0,1
"48 - Lozère","Médecine interne",1,0,1,0,0,0,0,0,0,0,0
"48 - Lozère","Médecine nucléaire",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Médecine physique et réadaptation",3,0,0,0,0,0,1,0,2,0,0
"48 - Lozère","Néphrologie",1,0,0,0,0,0,0,1,0,0,0
"48 - Lozère","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Neurologie",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","O.R.L et chirurgie cervico faciale",1,0,0,0,0,0,0,1,0,0,0
"48 - Lozère","Oncologie option médicale",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Ophtalmologie",3,0,0,0,0,0,1,1,0,1,0
"48 - Lozère","Pédiatrie",4,0,0,1,1,2,0,0,0,0,0
"48 - Lozère","Pneumologie",2,0,0,0,0,0,1,1,0,0,0
"48 - Lozère","Psychiatrie",13,0,1,1,1,0,0,3,3,4,0
"48 - Lozère","Radio-diagnostic et imagerie médicale",6,0,1,0,0,1,1,1,1,1,0
"48 - Lozère","Radio-thérapie",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Réanimation médicale",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Rhumatologie",0,0,0,0,0,0,0,0,0,0,0
"48 - Lozère","Santé publique et médecine sociale",1,0,0,0,0,0,0,1,0,0,0
"48 - Lozère","Généralistes",108,1,9,8,9,4,18,20,23,13,3
"48 - Lozère","Médecine générale",108,1,9,8,9,4,18,20,23,13,3
"49 - Maine-et-Loire","Ensemble des spécialités d'exercice",2538,58,289,264,263,299,355,428,386,162,34
"49 - Maine-et-Loire","Spécialistes",1327,21,162,152,141,167,178,208,191,91,16
"49 - Maine-et-Loire","Anatomie et cytologie pathologiques",21,0,1,2,3,3,2,7,2,1,0
"49 - Maine-et-Loire","Anesthésie-réanimation",138,0,16,22,18,15,15,24,16,10,2
"49 - Maine-et-Loire","Biologie médicale",44,2,4,6,4,6,11,4,7,0,0
"49 - Maine-et-Loire","Cardiologie et maladies vasculaires",60,2,7,4,7,3,10,10,8,8,1
"49 - Maine-et-Loire","Chirurgie générale",36,0,17,2,1,2,1,3,4,5,1
"49 - Maine-et-Loire","Chirurgie maxillo-faciale et stomatologie",15,0,1,3,0,0,1,3,3,3,1
"49 - Maine-et-Loire","Chirurgie orthopédique et traumatologie",42,0,2,4,7,5,9,4,9,2,0
"49 - Maine-et-Loire","Chirurgie infantile",6,0,0,2,0,1,1,0,2,0,0
"49 - Maine-et-Loire","Chirurgie plastique reconstructrice et esthétique",7,0,0,2,1,1,0,2,0,1,0
"49 - Maine-et-Loire","Chirurgie thoracique et cardio-vasculaire",6,0,0,0,3,0,2,0,1,0,0
"49 - Maine-et-Loire","Chirurgie urologique",14,0,1,3,3,3,2,1,1,0,0
"49 - Maine-et-Loire","Chirurgie vasculaire",9,0,1,0,1,1,3,2,0,1,0
"49 - Maine-et-Loire","Chirurgie viscérale et digestive",15,0,0,2,3,5,3,2,0,0,0
"49 - Maine-et-Loire","Dermatologie et vénéréologie",42,3,4,2,3,6,5,7,9,3,0
"49 - Maine-et-Loire","Endocrinologie et métabolisme",24,1,4,6,3,3,4,2,1,0,0
"49 - Maine-et-Loire","Génétique médicale",3,0,0,0,0,0,2,0,1,0,0
"49 - Maine-et-Loire","Gériatrie",20,0,3,1,4,4,4,1,2,0,1
"49 - Maine-et-Loire","Gynécologie médicale",22,0,3,0,0,0,0,7,8,4,0
"49 - Maine-et-Loire","Gynécologie-obstétrique",53,0,10,9,11,4,7,2,6,3,1
"49 - Maine-et-Loire","Hématologie",9,0,1,2,0,3,2,0,1,0,0
"49 - Maine-et-Loire","Gastro-entérologie et hépatologie",43,1,5,5,6,7,7,5,5,1,1
"49 - Maine-et-Loire","Médecine du travail",82,0,4,5,7,9,6,21,21,9,0
"49 - Maine-et-Loire","Médecine interne",26,0,1,1,0,4,6,2,4,6,2
"49 - Maine-et-Loire","Médecine nucléaire",10,0,2,2,1,2,1,0,1,1,0
"49 - Maine-et-Loire","Médecine physique et réadaptation",17,1,3,1,1,2,2,4,1,2,0
"49 - Maine-et-Loire","Néphrologie",21,0,3,5,4,4,1,3,0,1,0
"49 - Maine-et-Loire","Neuro-chirurgie",9,0,1,2,1,1,2,1,1,0,0
"49 - Maine-et-Loire","Neurologie",31,1,4,6,3,6,4,4,2,1,0
"49 - Maine-et-Loire","O.R.L et chirurgie cervico faciale",28,0,3,5,3,1,2,10,3,0,1
"49 - Maine-et-Loire","Oncologie option médicale",15,0,5,1,2,2,2,2,0,1,0
"49 - Maine-et-Loire","Ophtalmologie",63,1,7,6,6,6,5,15,14,2,1
"49 - Maine-et-Loire","Pédiatrie",81,3,11,16,9,12,9,6,9,6,0
"49 - Maine-et-Loire","Pneumologie",31,0,6,1,5,5,6,1,6,1,0
"49 - Maine-et-Loire","Psychiatrie",159,4,22,12,10,20,22,27,29,11,2
"49 - Maine-et-Loire","Radio-diagnostic et imagerie médicale",72,1,4,6,6,9,13,19,8,5,1
"49 - Maine-et-Loire","Radio-thérapie",8,0,0,2,1,1,1,1,1,1,0
"49 - Maine-et-Loire","Réanimation médicale",6,0,0,1,1,3,0,1,0,0,0
"49 - Maine-et-Loire","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"49 - Maine-et-Loire","Rhumatologie",28,0,4,2,2,6,3,4,4,2,1
"49 - Maine-et-Loire","Santé publique et médecine sociale",11,1,2,1,1,2,2,1,1,0,0
"49 - Maine-et-Loire","Généralistes",1211,37,127,112,122,132,177,220,195,71,18
"49 - Maine-et-Loire","Médecine générale",1211,37,127,112,122,132,177,220,195,71,18
"50 - Manche","Ensemble des spécialités d'exercice",1274,19,99,75,103,140,213,280,231,90,24
"50 - Manche","Spécialistes",569,10,42,41,44,58,91,122,103,49,9
"50 - Manche","Anatomie et cytologie pathologiques",4,0,0,0,0,1,0,0,2,1,0
"50 - Manche","Anesthésie-réanimation",48,0,1,5,4,0,6,9,17,4,2
"50 - Manche","Biologie médicale",11,0,2,0,0,3,4,2,0,0,0
"50 - Manche","Cardiologie et maladies vasculaires",31,1,2,3,0,4,6,7,6,2,0
"50 - Manche","Chirurgie générale",23,0,3,0,1,1,3,5,6,4,0
"50 - Manche","Chirurgie maxillo-faciale et stomatologie",10,0,1,0,0,2,0,0,5,2,0
"50 - Manche","Chirurgie orthopédique et traumatologie",18,0,1,3,2,3,2,5,1,1,0
"50 - Manche","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"50 - Manche","Chirurgie plastique reconstructrice et esthétique",2,0,0,0,0,1,1,0,0,0,0
"50 - Manche","Chirurgie thoracique et cardio-vasculaire",0,0,0,0,0,0,0,0,0,0,0
"50 - Manche","Chirurgie urologique",5,0,0,0,2,0,1,1,0,1,0
"50 - Manche","Chirurgie vasculaire",2,0,0,0,0,0,1,1,0,0,0
"50 - Manche","Chirurgie viscérale et digestive",11,0,0,3,2,1,3,2,0,0,0
"50 - Manche","Dermatologie et vénéréologie",17,0,0,0,3,1,3,8,2,0,0
"50 - Manche","Endocrinologie et métabolisme",8,0,5,0,2,0,0,1,0,0,0
"50 - Manche","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"50 - Manche","Gériatrie",11,0,0,0,1,2,2,3,2,1,0
"50 - Manche","Gynécologie médicale",23,0,0,0,0,0,0,10,9,3,1
"50 - Manche","Gynécologie-obstétrique",23,0,4,1,3,3,7,4,1,0,0
"50 - Manche","Hématologie",0,0,0,0,0,0,0,0,0,0,0
"50 - Manche","Gastro-entérologie et hépatologie",19,2,1,1,0,0,7,4,4,0,0
"50 - Manche","Médecine du travail",30,0,0,0,0,2,5,11,7,5,0
"50 - Manche","Médecine interne",9,0,2,4,0,1,0,1,1,0,0
"50 - Manche","Médecine nucléaire",1,0,0,0,0,0,0,0,0,1,0
"50 - Manche","Médecine physique et réadaptation",17,0,1,1,2,3,1,5,4,0,0
"50 - Manche","Néphrologie",11,2,2,1,0,1,3,0,2,0,0
"50 - Manche","Neuro-chirurgie",1,0,0,1,0,0,0,0,0,0,0
"50 - Manche","Neurologie",13,1,0,3,1,4,0,2,0,2,0
"50 - Manche","O.R.L et chirurgie cervico faciale",17,0,1,0,1,4,1,4,2,3,1
"50 - Manche","Oncologie option médicale",4,0,1,0,1,0,1,1,0,0,0
"50 - Manche","Ophtalmologie",28,0,1,3,3,1,3,7,5,3,2
"50 - Manche","Pédiatrie",29,0,3,4,1,6,5,4,5,1,0
"50 - Manche","Pneumologie",18,1,2,1,2,3,2,3,1,3,0
"50 - Manche","Psychiatrie",59,3,4,3,2,4,9,9,13,9,3
"50 - Manche","Radio-diagnostic et imagerie médicale",40,0,4,2,5,5,6,12,4,2,0
"50 - Manche","Radio-thérapie",3,0,0,0,0,0,2,0,0,1,0
"50 - Manche","Réanimation médicale",2,0,0,0,0,0,2,0,0,0,0
"50 - Manche","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"50 - Manche","Rhumatologie",18,0,1,1,5,2,5,1,3,0,0
"50 - Manche","Santé publique et médecine sociale",3,0,0,1,1,0,0,0,1,0,0
"50 - Manche","Généralistes",705,9,57,34,59,82,122,158,128,41,15
"50 - Manche","Médecine générale",705,9,57,34,59,82,122,158,128,41,15
"51 - Marne","Ensemble des spécialités d'exercice",1959,60,210,218,185,225,283,310,304,129,35
"51 - Marne","Spécialistes",1058,36,134,125,76,114,147,172,162,74,18
"51 - Marne","Anatomie et cytologie pathologiques",20,0,3,1,1,0,4,4,5,1,1
"51 - Marne","Anesthésie-réanimation",98,3,9,14,12,6,7,20,20,6,1
"51 - Marne","Biologie médicale",33,0,6,4,1,4,12,6,0,0,0
"51 - Marne","Cardiologie et maladies vasculaires",55,2,8,9,1,3,10,7,9,5,1
"51 - Marne","Chirurgie générale",44,2,13,1,1,4,3,7,4,6,3
"51 - Marne","Chirurgie maxillo-faciale et stomatologie",2,0,0,1,0,0,0,1,0,0,0
"51 - Marne","Chirurgie orthopédique et traumatologie",28,0,4,2,3,6,1,7,4,1,0
"51 - Marne","Chirurgie infantile",7,0,0,0,0,2,2,2,1,0,0
"51 - Marne","Chirurgie plastique reconstructrice et esthétique",4,0,0,2,0,1,1,0,0,0,0
"51 - Marne","Chirurgie thoracique et cardio-vasculaire",6,0,0,1,1,1,3,0,0,0,0
"51 - Marne","Chirurgie urologique",15,0,2,3,1,2,6,0,1,0,0
"51 - Marne","Chirurgie vasculaire",5,0,0,0,1,2,0,0,1,1,0
"51 - Marne","Chirurgie viscérale et digestive",7,0,0,1,2,0,2,0,1,1,0
"51 - Marne","Dermatologie et vénéréologie",37,0,2,2,6,6,4,8,8,1,0
"51 - Marne","Endocrinologie et métabolisme",21,1,2,3,1,3,5,3,2,0,1
"51 - Marne","Génétique médicale",5,1,0,0,0,0,1,1,1,1,0
"51 - Marne","Gériatrie",7,0,1,0,0,4,1,1,0,0,0
"51 - Marne","Gynécologie médicale",15,1,2,1,0,0,0,3,5,2,1
"51 - Marne","Gynécologie-obstétrique",47,0,7,14,2,6,5,10,3,0,0
"51 - Marne","Hématologie",4,0,2,0,1,1,0,0,0,0,0
"51 - Marne","Gastro-entérologie et hépatologie",39,1,6,2,1,3,11,9,6,0,0
"51 - Marne","Médecine du travail",48,0,3,1,3,2,7,13,12,7,0
"51 - Marne","Médecine interne",28,0,3,3,1,7,3,1,6,2,2
"51 - Marne","Médecine nucléaire",8,1,0,4,0,2,0,1,0,0,0
"51 - Marne","Médecine physique et réadaptation",19,1,4,0,2,6,2,0,2,2,0
"51 - Marne","Néphrologie",17,2,3,3,1,1,4,0,3,0,0
"51 - Marne","Neuro-chirurgie",10,0,3,1,1,0,1,1,1,2,0
"51 - Marne","Neurologie",16,1,3,0,2,1,2,5,2,0,0
"51 - Marne","O.R.L et chirurgie cervico faciale",20,1,1,2,1,2,7,1,3,2,0
"51 - Marne","Oncologie option médicale",10,0,0,0,1,2,3,2,1,1,0
"51 - Marne","Ophtalmologie",43,1,2,5,3,4,6,8,8,3,3
"51 - Marne","Pédiatrie",69,6,14,9,4,8,5,11,9,2,1
"51 - Marne","Pneumologie",29,0,3,2,4,3,3,4,9,1,0
"51 - Marne","Psychiatrie",114,4,18,20,5,11,9,11,19,15,2
"51 - Marne","Radio-diagnostic et imagerie médicale",68,2,5,10,8,6,10,12,10,5,0
"51 - Marne","Radio-thérapie",10,2,0,3,1,0,0,2,2,0,0
"51 - Marne","Réanimation médicale",5,0,0,0,0,1,3,0,0,1,0
"51 - Marne","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"51 - Marne","Rhumatologie",30,3,2,1,1,3,3,8,2,5,2
"51 - Marne","Santé publique et médecine sociale",15,1,3,0,3,1,1,3,2,1,0
"51 - Marne","Généralistes",901,24,76,93,109,111,136,138,142,55,17
"51 - Marne","Médecine générale",901,24,76,93,109,111,136,138,142,55,17
"52 - Haute-Marne","Ensemble des spécialités d'exercice",476,4,14,22,40,63,70,105,95,54,9
"52 - Haute-Marne","Spécialistes",207,1,4,9,17,23,31,49,44,24,5
"52 - Haute-Marne","Anatomie et cytologie pathologiques",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Anesthésie-réanimation",24,0,1,2,2,1,6,7,4,1,0
"52 - Haute-Marne","Biologie médicale",6,0,0,0,0,1,3,0,2,0,0
"52 - Haute-Marne","Cardiologie et maladies vasculaires",11,0,0,0,1,2,2,3,1,2,0
"52 - Haute-Marne","Chirurgie générale",9,0,0,0,1,1,1,2,2,1,1
"52 - Haute-Marne","Chirurgie maxillo-faciale et stomatologie",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Chirurgie orthopédique et traumatologie",11,0,0,0,2,2,2,3,2,0,0
"52 - Haute-Marne","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Chirurgie plastique reconstructrice et esthétique",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Chirurgie thoracique et cardio-vasculaire",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Chirurgie urologique",4,0,0,1,2,0,0,1,0,0,0
"52 - Haute-Marne","Chirurgie vasculaire",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Chirurgie viscérale et digestive",2,0,0,0,0,0,1,0,1,0,0
"52 - Haute-Marne","Dermatologie et vénéréologie",6,0,0,0,1,1,1,1,2,0,0
"52 - Haute-Marne","Endocrinologie et métabolisme",3,1,0,0,0,0,1,1,0,0,0
"52 - Haute-Marne","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Gériatrie",7,0,0,0,1,1,0,2,2,1,0
"52 - Haute-Marne","Gynécologie médicale",7,0,0,0,0,0,0,3,3,1,0
"52 - Haute-Marne","Gynécologie-obstétrique",12,0,0,0,1,3,1,0,3,4,0
"52 - Haute-Marne","Hématologie",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Gastro-entérologie et hépatologie",7,0,0,0,0,2,0,2,2,1,0
"52 - Haute-Marne","Médecine du travail",3,0,0,1,0,0,1,0,1,0,0
"52 - Haute-Marne","Médecine interne",1,0,0,0,0,0,0,0,1,0,0
"52 - Haute-Marne","Médecine nucléaire",2,0,0,1,0,1,0,0,0,0,0
"52 - Haute-Marne","Médecine physique et réadaptation",3,0,0,0,0,0,0,2,1,0,0
"52 - Haute-Marne","Néphrologie",4,0,0,0,0,0,1,1,0,1,1
"52 - Haute-Marne","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Neurologie",3,0,0,0,0,1,1,0,0,1,0
"52 - Haute-Marne","O.R.L et chirurgie cervico faciale",4,0,0,0,0,0,1,1,0,2,0
"52 - Haute-Marne","Oncologie option médicale",2,0,0,0,0,1,0,1,0,0,0
"52 - Haute-Marne","Ophtalmologie",8,0,0,2,0,0,1,3,2,0,0
"52 - Haute-Marne","Pédiatrie",13,0,2,0,0,1,1,4,2,2,1
"52 - Haute-Marne","Pneumologie",5,0,0,0,1,1,0,0,2,1,0
"52 - Haute-Marne","Psychiatrie",23,0,1,1,2,1,3,3,7,5,0
"52 - Haute-Marne","Radio-diagnostic et imagerie médicale",21,0,0,1,3,3,3,7,3,1,0
"52 - Haute-Marne","Radio-thérapie",1,0,0,0,0,0,0,0,0,0,1
"52 - Haute-Marne","Réanimation médicale",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Recherche médicale",0,0,0,0,0,0,0,0,0,0,0
"52 - Haute-Marne","Rhumatologie",4,0,0,0,0,0,1,2,0,0,1
"52 - Haute-Marne","Santé publique et médecine sociale",1,0,0,0,0,0,0,0,1,0,0
"52 - Haute-Marne","Généralistes",269,3,10,13,23,40,39,56,51,30,4
"52 - Haute-Marne","Médecine générale",269,3,10,13,23,40,39,56,51,30,4
"53 - Mayenne","Ensemble des spécialités d'exercice",619,3,35,42,46,62,103,142,136,43,7
"53 - Mayenne","Spécialistes",267,0,11,16,13,32,52,57,64,17,5
"53 - Mayenne","Anatomie et cytologie pathologiques",2,0,0,0,0,0,1,1,0,0,0
"53 - Mayenne","Anesthésie-réanimation",24,0,0,3,2,1,5,8,2,3,0
"53 - Mayenne","Biologie médicale",7,0,1,1,0,1,4,0,0,0,0
"53 - Mayenne","Cardiologie et maladies vasculaires",16,0,1,2,0,4,3,1,3,0,2
"53 - Mayenne","Chirurgie générale",12,0,0,2,0,1,1,3,5,0,0
"53 - Mayenne","Chirurgie maxillo-faciale et stomatologie",0,0,0,0,0,0,0,0,0,0,0
"53 - Mayenne","Chirurgie orthopédique et traumatologie",11,0,1,0,0,1,2,5,2,0,0
"53 - Mayenne","Chirurgie infantile",0,0,0,0,0,0,0,0,0,0,0
"53 - Mayenne","Chirurgie plastique reconstructrice et esthétique",0,0,0,0,0,0,0,0,0,0,0
"53 - Mayenne","Chirurgie thoracique et cardio-vasculaire",1,0,0,0,0,0,1,0,0,0,0
"53 - Mayenne","Chirurgie urologique",3,0,0,0,0,0,1,0,2,0,0
"53 - Mayenne","Chirurgie vasculaire",1,0,0,0,0,0,0,1,0,0,0
"53 - Mayenne","Chirurgie viscérale et digestive",4,0,0,0,0,1,1,0,2,0,0
"53 - Mayenne","Dermatologie et vénéréologie",8,0,0,0,1,1,2,1,3,0,0
"53 - Mayenne","Endocrinologie et métabolisme",4,0,0,1,0,1,1,0,1,0,0
"53 - Mayenne","Génétique médicale",0,0,0,0,0,0,0,0,0,0,0
"53 - Mayenne","Gériatrie",4,0,2,1,0,0,0,0,1,0,0
"53 - Mayenne","Gynécologie médicale",11,0,0,0,0,0,0,6,2,3,0
"53 - Mayenne","Gynécologie-obstétrique",8,0,0,1,0,2,3,1,1,0,0
"53 - Mayenne","Hématologie",0,0,0,0,0,0,0,0,0,0,0
"53 - Mayenne","Gastro-entérologie et hépatologie",11,0,0,0,1,1,3,3,3,0,0
"53 - Mayenne","Médecine du travail",12,0,0,0,0,1,1,3,7,0,0
"53 - Mayenne","Médecine interne",7,0,0,0,0,2,0,2,3,0,0
"53 - Mayenne","Médecine nucléaire",0,0,0,0,0,0,0,0,0,0,0
"53 - Mayenne","Médecine physique et réadaptation",4,0,1,0,0,1,0,1,1,0,0
"53 - Mayenne","Néphrologie",5,0,0,0,0,1,2,0,1,1,0
"53 - Mayenne","Neuro-chirurgie",0,0,0,0,0,0,0,0,0,0,0
"53 - Mayenne","Neurologie",6,0,2,0,0,0,4,0,0,0,0
"53 - Mayenne","O.R.L et chirurgie cervico faciale",8,0,0,0,3,0,1,0,3,1,0
"53 - Mayenne","Oncologie option médicale",2,0,0,0,0,1,0,0,1,0,0
"53 - Mayenne","Ophtalmologie",15,0,1,0,1,1,1,4,6,0,1
"53 - Mayenne","Pédiatrie",8,0,0,1,2,0,2,2,0,0,1
"53 - Mayenne","Pneumologie",5,0,0,1,0,1,0,1,1,0,1
"53 - Mayenne","Psychiatrie",34,0,2,1,2,4,4,7,9,5,0
